127.0.0.1 - - [05/Aug/2022:13:28:03 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:28:05 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:28:06 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:28:07 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:28:10 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:28:14 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:28:14 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5735
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:28:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:29:30 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5761
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:29:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:29:36 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:30:12 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3311
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:32:01 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:32:08 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:32:08 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5735
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:32:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:33:22 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5761
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:33:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:33:26 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:33:39 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [05/Aug/2022:13:33:45 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2572
