127.0.0.1 - - [01/Aug/2022:11:53:13 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [01/Aug/2022:11:53:18 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [01/Aug/2022:11:53:19 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [01/Aug/2022:12:03:43 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [01/Aug/2022:12:03:43 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [01/Aug/2022:15:15:10 +0530] "GET /ORS_Project4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2022:15:15:10 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [01/Aug/2022:15:15:59 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [01/Aug/2022:15:16:13 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [01/Aug/2022:15:16:15 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [01/Aug/2022:15:21:55 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [01/Aug/2022:15:36:05 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [01/Aug/2022:15:36:17 +0530] "GET /ORS_Project4/ctl/ HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [01/Aug/2022:15:36:54 +0530] "GET /ORS_Project4/ctl/ HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [01/Aug/2022:15:37:00 +0530] "GET /ORS_Project4/doc/ HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [01/Aug/2022:15:37:03 +0530] "GET /ORS_Project4/doc/ HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [01/Aug/2022:15:37:06 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [01/Aug/2022:15:37:07 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2549
